Name,Link
logo_link,https://www.cursoemvideo.com/
playlist_link,https://www.youtube.com/playlist?list=PLHz_AreHm4dm6wYOIW20Nyg12TAjmMGT-
1,https://www.youtube.com/watch?v=nIHq1MtJaKs&list=PLHz_AreHm4dm6wYOIW20Nyg12TAjmMGT-&index=1&t=319s
2,https://www.youtube.com/watch?v=FNqdV5Zb_5Q&list=PLHz_AreHm4dm6wYOIW20Nyg12TAjmMGT-&index=2
3,https://www.youtube.com/watch?v=PB254Cfjlyk&list=PLHz_AreHm4dm6wYOIW20Nyg12TAjmMGT-&index=3&t=249s
4,https://www.youtube.com/watch?v=tHYxjJxtJko&list=PLHz_AreHm4dm6wYOIW20Nyg12TAjmMGT-&index=4
5,https://www.youtube.com/watch?v=664e0G_S9nU&list=PLHz_AreHm4dm6wYOIW20Nyg12TAjmMGT-&index=5&t=248s
6,https://www.youtube.com/watch?v=mqcNw_dhl8I&list=PLHz_AreHm4dm6wYOIW20Nyg12TAjmMGT-&index=7&t=437s
7,https://www.youtube.com/watch?v=_QfISzy0IKs&list=PLHz_AreHm4dm6wYOIW20Nyg12TAjmMGT-&index=8&t=400s
8,https://www.youtube.com/watch?v=KjcdG05EAZc&list=PLHz_AreHm4dm6wYOIW20Nyg12TAjmMGT-&index=9&t=259s
9,https://www.youtube.com/watch?v=qajq3SI0QQs&list=PLHz_AreHm4dm6wYOIW20Nyg12TAjmMGT-&index=10&t=356s
10,https://www.youtube.com/watch?v=xM4AX3Lp2mo&list=PLHz_AreHm4dm6wYOIW20Nyg12TAjmMGT-&index=11&t=360s
11,https://www.youtube.com/watch?v=mzSJpn9ldt4&list=PLHz_AreHm4dm6wYOIW20Nyg12TAjmMGT-&index=12&t=333s
12,https://www.youtube.com/watch?v=4MAmKOT9FeU&list=PLHz_AreHm4dm6wYOIW20Nyg12TAjmMGT-&index=13&t=489s
13,https://www.youtube.com/watch?v=cTkivN8XcJ0&list=PLHz_AreHm4dm6wYOIW20Nyg12TAjmMGT-&index=14
14,https://www.youtube.com/watch?v=9l_Gay8BuAw&list=PLHz_AreHm4dm6wYOIW20Nyg12TAjmMGT-&index=15&t=325s
15,https://www.youtube.com/watch?v=I4NYUeetLAc&list=PLHz_AreHm4dm6wYOIW20Nyg12TAjmMGT-&index=16&t=5s
16,https://www.youtube.com/watch?v=-iSbDpl5Jhw&list=PLHz_AreHm4dm6wYOIW20Nyg12TAjmMGT-&index=17&t=276s
17,https://www.youtube.com/watch?v=vmPW9iWsYkY&list=PLHz_AreHm4dm6wYOIW20Nyg12TAjmMGT-&index=18&t=380s
18,https://www.youtube.com/watch?v=9GvsphwW26k&list=PLHz_AreHm4dm6wYOIW20Nyg12TAjmMGT-&index=19&t=390s
19,https://www.youtube.com/watch?v=_Nk02-mfB5I&list=PLHz_AreHm4dm6wYOIW20Nyg12TAjmMGT-&index=20&t=279s
20,https://www.youtube.com/watch?v=OPh0nngbBSY&list=PLHz_AreHm4dm6wYOIW20Nyg12TAjmMGT-&index=21
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
